IND_ID	X1	X2	pf1	pf2	gene_1
donor_001	0.826317	0	0.578925	0.140045	4
donor_001	0.826317	0	-1.542337	-0.220467	5
donor_001	0.826317	0	-0.787452	0.349815	2
donor_001	0.826317	0	-0.967849	-0.476778	5
donor_001	0.826317	0	-1.415483	-0.695720	2
donor_002	0.523887	1	0.906755	0.227357	5
donor_002	0.523887	1	-0.202951	0.551016	5
donor_002	0.523887	1	0.503669	-0.675964	2
donor_002	0.523887	1	1.210840	-0.475895	6
donor_002	0.523887	1	1.516765	1.428597	5
donor_003	1.445877	0	0.981983	0.015344	3
donor_003	1.445877	0	0.316820	-0.666699	4
donor_003	1.445877	0	-0.429647	0.086928	3
donor_003	1.445877	0	1.919418	-0.305324	6
donor_003	1.445877	0	-0.399224	-0.667895	6
donor_004	1.025062	1	-1.725064	0.118904	4
donor_004	1.025062	1	2.493299	-1.388284	8
donor_004	1.025062	1	0.769129	0.126716	5
donor_004	1.025062	1	-0.115267	0.429860	5
donor_004	1.025062	1	1.880138	2.228106	3
donor_005	-0.672850	0	-0.950752	-0.525988	3
donor_005	-0.672850	0	-0.012994	-1.250695	3
donor_005	-0.672850	0	0.849777	-1.788531	1
donor_005	-0.672850	0	-1.955272	0.780385	3
donor_005	-0.672850	0	-0.796462	0.528943	1
donor_006	-0.086293	1	-2.480839	-1.213424	2
donor_006	-0.086293	1	-1.332673	0.106678	2
donor_006	-0.086293	1	-1.165421	1.103762	6
donor_006	-0.086293	1	1.203842	-0.838385	3
donor_006	-0.086293	1	0.828934	-0.165804	5
donor_007	-0.612244	0	0.163213	-0.793694	7
donor_007	-0.612244	0	-0.932021	-0.780998	1
donor_007	-0.612244	0	0.351792	-0.689413	3
donor_007	-0.612244	0	1.005252	-0.318353	4
donor_007	-0.612244	0	-0.018465	-0.474870	3
donor_008	0.779265	1	1.256464	0.964575	3
donor_008	0.779265	1	-0.690087	1.109783	2
donor_008	0.779265	1	1.252761	-0.216170	4
donor_008	0.779265	1	-2.075656	-0.548953	1
donor_008	0.779265	1	-0.347525	0.309025	2
donor_009	1.344060	0	1.040324	-0.366621	2
donor_009	1.344060	0	0.330406	0.473901	4
donor_009	1.344060	0	0.707753	1.166777	3
donor_009	1.344060	0	-1.259731	-1.169443	2
donor_009	1.344060	0	0.544684	-1.283978	5
donor_010	1.029480	1	0.024327	-0.467166	6
donor_010	1.029480	1	-0.113227	1.641714	2
donor_010	1.029480	1	-0.602515	-0.688478	2
donor_010	1.029480	1	2.174876	0.195977	6
donor_010	1.029480	1	1.973496	0.978111	6
donor_011	-0.712887	0	1.017536	-0.159616	3
donor_011	-0.712887	0	-0.731091	-1.673165	0
donor_011	-0.712887	0	-0.472448	-0.186038	4
donor_011	-0.712887	0	-0.945849	0.896885	3
donor_011	-0.712887	0	-0.253702	2.346851	3
donor_012	1.659238	1	-0.330139	-0.250079	4
donor_012	1.659238	1	1.089802	0.260761	5
donor_012	1.659238	1	-0.832208	0.313782	1
donor_012	1.659238	1	0.577498	0.115697	4
donor_012	1.659238	1	-0.518996	-1.548682	3
donor_013	0.912869	0	-0.022055	-0.164559	4
donor_013	0.912869	0	0.099263	1.119167	4
donor_013	0.912869	0	-1.583197	-1.607698	4
donor_013	0.912869	0	-0.696624	1.990303	4
donor_013	0.912869	0	0.227189	-0.445806	0
donor_014	1.806668	1	0.962370	0.344156	5
donor_014	1.806668	1	-0.746069	0.267864	5
donor_014	1.806668	1	1.411883	0.012540	3
donor_014	1.806668	1	1.281811	1.106952	7
donor_014	1.806668	1	0.037033	-1.266065	4
donor_015	-0.087932	0	0.264642	-0.418360	5
